m_id,p_id
647,1457
648,39
649,1797
650,519
651,1800
652,1801
653,145
654,1806
655,1810
656,34
657,1125
658,1116
659,712
660,1819
661,1821
662,1825
663,1162
664,1829
665,1831
666,1833
667,1837
668,1839
669,800
670,1843
671,820
672,1847
673,81
674,1070
675,1837
676,39
677,839
678,536
679,1856
680,1860
681,1839
682,1865
683,27
684,1860
685,1875
686,1879
687,1880
688,51
689,27
690,1888
691,1890
692,525
693,597
694,5
695,1895
696,1573
697,1890
698,1521
699,1905
700,1908
701,1911
702,569
703,1914
704,1588
705,1918
706,1921
707,907
708,1928
709,1267
710,1275
711,597
712,1275
713,161
714,899
715,161
716,1275
717,1946
718,1950
719,1275
720,1946
721,1455
722,1959
723,1963
724,1964
725,1967
726,1971
727,1974
728,1978
729,1981
730,1985
731,1987
732,1989
733,1993
734,757
735,1997
736,2001
737,2003
738,198
739,1408
740,2009
741,2013
742,2017
743,131
744,1224
745,2021
746,1455
747,1377
748,2025
749,34
750,1987
751,111
752,265
753,1723
754,2034
755,2035
756,704
757,81
758,506
759,1141
760,525
761,820
762,658
763,2050
764,2054
765,2058
766,2060
767,2062
768,34
769,2064
770,2066
771,2069
772,2073
773,2077
774,1431
775,633
776,2081
777,2082
778,1072
779,2086
780,1179
781,2090
782,2092
783,1491
784,1171
785,1070
786,2097
787,2101
788,809
789,2105
790,1020
791,128
792,265
793,499
794,2112
795,2116
796,2120
797,1496
798,776
799,2126
800,2128
801,2132
802,2135
803,2138
804,654
805,1104
806,1020
807,2145
808,137
809,2148
810,2092
811,2152
812,2155
813,2156
814,1455
815,780
816,2164
817,2166
818,2170
819,94
820,2172
821,1196
822,519
823,81
824,2181
825,820
826,2184
827,776
828,776
829,39
830,2189
831,2193
832,1244
833,27
834,2200
835,851
836,1224
837,51
838,1224
839,15
840,2210
841,2214
842,2216
843,2220
844,81
845,835
846,124
847,1224
848,2233
849,1231
850,15
851,2238
852,2242
853,1236
854,2244
855,2247
856,2249
857,895
858,891
859,1573
860,124
861,2258
862,2261
863,161
864,2266
865,935
866,560
867,2271
868,2244
869,1300
870,1283
871,252
872,899
873,1257
874,597
875,2285
876,2289
877,1946
878,2295
879,2296
880,23
881,1097
882,2303
883,1004
884,2035
885,2309
886,2313
887,2317
888,1015
889,1446
890,2323
891,27
892,1089
893,1186
894,289
895,2327
896,1097
897,2332
898,2333
899,2336
900,620
901,1007
902,2342
903,2345
904,2347
905,728
906,2060
907,2353
908,2356
909,1987
910,2359
911,2363
912,1457
913,2367
914,2368
915,310
916,2371
917,679
918,1066
919,2378
920,1987
921,682
922,1196
923,2034
924,2384
925,2388
926,2391
927,2054
928,704
929,2396
930,1224
931,2396
932,1810
933,2403
934,2405
935,2406
936,2409
937,306
938,679
939,757
940,223
941,2417
942,1196
943,2419
944,784
945,2425
946,654
947,1455
948,2431
949,1104
950,2434
951,2200
952,27
953,1240
954,2437
955,2439
956,1890
957,2441
958,556
959,1389
960,2447
961,1200
962,851
963,1431
964,536
965,1839
966,525
967,506
968,800
969,2457
970,741
971,2461
972,152
973,2465
974,2431
975,5
976,820
977,1186
978,2475
979,1860
980,1865
981,776
982,2484
983,695
984,2488
985,2492
986,2244
987,2497
988,839
989,27
990,2170
991,43
992,2247
993,2510
994,1561
995,2517
996,2521
997,2523
998,1573
999,161
1000,161
