m_id,g_id
276,7
276,12
277,5
277,1
278,11
279,1
279,15
280,1
280,21
281,1
282,4
282,1
282,6
283,5
283,1
284,1
284,16
284,12
285,11
285,2
285,1
286,1
287,1
287,16
287,7
288,2
288,1
288,16
289,2
289,1
290,1
290,12
291,5
291,1
291,6
292,1
292,15
293,1
293,10
294,1
294,18
294,12
295,3
295,11
295,2
296,1
296,9
297,1
297,15
298,1
299,5
299,1
299,6
300,2
300,1
301,4
301,1
301,6
302,4
302,1
303,1
304,1
304,6
305,4
305,1
305,15
306,2
306,1
306,12
307,4
307,1
307,12
308,1
308,20
309,3
309,2
309,1
310,20
310,16
310,12
311,1
311,17
311,8
312,11
312,1
312,8
313,1
313,16
313,8
314,11
314,1
315,1
315,6
315,8
316,1
316,15
317,11
317,8
318,5
318,1
318,6
319,11
319,8
320,1
320,8
321,3
321,4
321,11
322,10
322,18
322,16
323,11
323,1
324,4
324,5
324,1
325,1
325,6
326,3
326,4
326,11
327,3
327,2
327,12
328,11
328,1
328,17
329,5
329,1
330,4
330,1
330,7
331,13
331,4
331,11
332,3
332,1
333,13
333,4
333,1
334,1
334,14
335,1
335,17
335,8
336,2
336,1
336,12
337,1
338,3
338,2
338,12
339,5
339,1
339,12
340,3
340,4
340,11
341,3
341,1
341,16
342,1
342,8
342,7
343,5
343,1
343,17
344,3
344,4
344,1
345,1
345,8
346,3
346,2
346,1
347,5
347,1
347,6
348,1
349,3
349,4
349,11
350,1
350,16
351,1
351,8
352,3
352,5
352,1
353,1
354,3
354,1
354,12
355,1
355,8
356,1
356,12
357,3
357,2
357,1
358,3
358,4
358,7
359,13
359,5
359,1
360,5
360,1
361,5
361,1
362,4
362,1
362,12
363,3
363,16
363,12
364,2
364,1
364,8
365,2
365,12
366,5
366,1
367,4
367,11
367,7
368,13
368,4
368,11
369,3
369,4
369,12
370,3
370,2
370,12
371,1
372,1
372,8
373,5
373,1
374,5
374,1
374,6
375,11
375,1
375,19
376,3
376,2
376,1
377,3
377,4
377,10
378,4
378,1
378,10
379,13
379,3
379,4
380,11
380,1
380,8
381,2
381,1
382,11
382,1
383,1
383,16
383,7
384,1
385,2
385,1
385,19
386,5
386,1
387,13
387,2
387,16
388,1
389,1
390,13
390,3
390,4
391,3
391,2
391,11
392,1
393,11
393,1
394,16
394,7
394,12
395,13
395,3
395,2
396,13
396,14
396,10
397,11
397,10
397,8
398,2
398,1
399,1
400,13
400,4
400,11
401,1
401,6
401,12
402,13
402,14
402,10
403,4
403,1
403,9
404,11
404,1
405,1
406,13
406,3
406,7
407,4
407,14
407,10
408,1
408,10
408,8
409,1
409,15
410,13
410,4
410,1
411,3
411,7
412,5
412,1
412,6
413,1
413,6
413,15
414,11
414,1
415,11
415,8
416,4
416,12
417,5
417,2
417,1
418,11
419,5
419,2
419,1
420,18
421,16
421,12
422,1
422,8
423,1
423,14
423,19
424,1
425,5
425,2
425,1
426,1
426,18
427,4
427,7
428,11
428,1
428,8
429,1
430,5
430,1
430,14
431,1
431,8
431,15
432,3
432,1
432,9
433,1
434,1
435,1
435,21
436,11
436,1
437,3
437,1
437,9
438,2
438,1
438,16
439,2
439,1
439,20
440,1
441,1
441,20
442,2
442,1
442,20
443,2
443,1
443,20
444,1
445,2
445,1
445,18
446,11
446,1
446,15
447,11
447,8
448,1
449,1
449,20
449,16
450,11
450,2
451,2
451,1
451,16
452,2
452,1
452,20
453,1
453,8
454,1
454,20
454,16
455,1
455,8
455,15
456,11
456,2
456,12
457,20
457,16
458,1
458,6
459,4
459,14
459,10
460,11
460,1
461,11
461,2
461,16
462,1
462,15
463,1
463,6
463,12
464,11
464,2
464,1
465,11
465,1
465,8
466,2
466,1
467,11
467,1
467,8
468,1
468,8
469,1
470,13
470,4
470,11
471,4
471,11
471,1
472,11
472,1
473,11
473,1
473,17
474,3
474,4
474,11
475,2
475,1
475,12
476,11
476,1
476,15
477,1
477,7
478,3
478,4
478,7
479,1
479,8
480,3
480,4
480,7
481,2
481,1
482,11
482,1
482,8
483,3
483,4
483,7
484,1
484,8
485,5
485,2
485,1
486,2
486,1
487,1
487,16
487,7
488,2
488,1
488,10
489,3
489,7
489,12
490,1
490,21
491,11
491,1
491,8
492,1
493,1
494,3
494,4
494,7
495,11
495,2
495,1
496,1
496,10
496,16
497,3
497,4
497,1
498,4
498,1
498,10
499,4
499,1
499,10
500,13
500,4
500,11
501,11
501,1
502,1
502,17
503,3
503,4
503,7
504,11
504,18
505,1
505,8
506,2
506,1
506,16
507,4
507,14
507,10
508,3
508,4
508,6
509,1
509,16
509,8
510,11
510,1
510,15
511,13
511,3
511,2
512,3
512,16
512,12
513,2
513,1
513,12
514,4
514,1
514,7
515,4
515,11
515,1
516,1
516,16
516,12
517,13
517,4
517,11
518,1
519,13
519,1
519,14
520,2
520,1
521,2
521,1
521,8
522,1
522,17
522,16
523,13
523,3
523,4
524,2
524,1
524,12
525,1
525,10
525,8
526,5
526,1
527,11
527,1
528,2
528,1
528,12
529,11
529,1
530,1
530,7
531,11
531,17
532,11
532,14
533,3
533,4
533,11
534,11
534,1
534,8
535,1
535,17
535,19
536,3
536,4
536,18
537,5
537,1
537,6
538,4
538,1
538,10
539,11
539,1
539,14
540,11
541,3
541,4
541,5
542,11
542,1
542,8
543,5
543,1
543,15
544,3
544,4
544,9
545,18
545,12
546,5
546,1
546,6
547,2
547,1
547,16
548,11
548,16
548,8
549,1
549,12
550,4
550,5
550,1
551,1
551,16
552,1
552,8
553,4
553,1
554,4
554,1
554,9
555,1
556,1
556,12
556,9
557,2
557,20
557,12
558,11
558,1
558,10
559,11
559,1
559,14
560,1
560,20
560,8
561,2
561,20
561,16
562,1
562,20
563,11
563,8
564,11
564,1
564,8
565,3
565,4
565,8
566,11
566,17
566,19
567,4
567,18
567,7
568,1
568,18
569,10
569,18
570,3
570,11
570,2
571,3
571,1
571,12
572,1
572,17
573,1
574,3
574,1
574,6
575,11
575,1
576,5
576,1
576,6
577,4
577,11
577,14
578,3
578,2
578,1
579,13
579,3
579,4
580,5
580,1
580,21
581,1
582,1
582,6
582,15
583,3
583,4
583,7
584,3
584,4
584,7
585,2
585,1
585,16
586,1
586,8
587,13
587,5
587,2
588,5
588,11
588,1
589,1
589,16
590,1
591,1
591,8
592,11
592,8
593,13
593,3
593,4
594,11
594,1
594,10
595,11
595,1
595,14
596,13
596,5
596,1
597,13
597,4
597,11
598,2
598,1
598,16
599,11
599,1
599,8
600,13
600,3
600,4
601,5
601,11
601,1
602,1
602,12
603,3
603,2
603,1
604,2
604,1
604,16
605,4
605,5
605,2
606,3
606,2
606,1
607,5
607,1
607,6
608,2
608,1
608,16
609,3
609,2
609,12
610,4
610,10
611,1
611,6
611,16
612,2
612,1
612,16
613,1
613,6
613,12
614,11
614,1
615,5
615,1
615,21
616,3
616,12
617,1
617,6
617,15
618,1
618,17
618,8
619,4
619,10
620,1
621,1
621,16
621,8
622,2
622,1
623,5
623,2
623,1
624,3
624,4
624,10
625,1
625,10
625,8
626,3
626,4
626,1
627,11
627,1
628,3
628,11
628,16
629,1
629,10
629,8
630,1
630,14
630,19
631,11
631,2
631,1
632,1
632,8
633,5
633,1
633,21
634,13
634,4
634,11
635,3
635,4
635,7
636,5
636,1
636,17
637,1
638,1
638,8
639,4
639,5
639,1
640,2
640,1
641,13
641,11
641,1
642,3
642,1
642,12
643,3
643,4
643,1
644,13
644,1
644,10
645,5
645,1
645,21
646,3
646,4
646,10
647,1
648,4
648,1
648,8
649,3
649,2
649,12
650,5
650,1
650,12
651,5
651,1
651,14
652,13
652,4
652,11
653,1
653,8
654,2
654,1
654,8
655,1
655,7
655,12
656,3
656,1
656,16
657,1
658,5
658,11
658,1
659,1
660,3
660,5
660,1
661,11
661,1
661,14
662,1
662,8
663,11
663,1
664,3
664,2
664,1
665,2
