m_id,a_id
233,731
234,651
234,732
234,687
235,733
235,44
235,3
236,735
236,736
236,112
237,738
237,739
237,740
238,742
238,743
238,744
239,651
239,732
239,745
240,67
240,746
240,747
241,191
241,749
241,750
242,25
242,751
242,752
243,753
243,754
243,755
244,31
244,40
244,756
245,758
245,206
245,759
246,760
246,753
246,761
247,763
247,764
247,765
248,191
248,766
248,745
249,537
249,768
249,717
250,334
250,769
250,770
251,303
251,507
251,772
252,773
252,774
252,775
253,777
253,778
253,779
254,781
254,782
254,783
255,785
255,786
255,787
256,777
256,788
256,418
257,789
257,790
257,791
258,793
258,794
258,795
259,474
259,797
259,798
260,742
260,743
260,799
261,801
261,802
261,803
262,804
262,805
262,781
263,806
263,807
263,808
264,478
264,810
264,811
265,813
265,814
265,815
266,815
266,817
266,818
267,320
267,819
267,742
268,821
268,822
268,823
269,825
269,826
269,827
270,829
270,830
270,831
271,832
271,833
271,834
272,836
272,837
272,838
273,840
273,841
273,842
274,844
274,160
274,845
275,846
275,847
275,848
276,56
276,849
276,850
277,96
277,243
277,852
278,558
278,559
278,854
279,13
279,756
279,856
280,858
280,859
280,860
281,861
281,261
281,862
282,863
282,864
282,362
283,865
283,866
283,867
284,59
284,861
284,868
285,863
285,870
285,871
286,872
286,548
286,873
287,874
287,875
287,876
288,878
288,879
288,880
289,358
289,882
289,883
290,576
290,548
290,884
291,546
291,885
291,886
292,888
292,889
292,890
293,892
293,893
293,894
294,594
294,896
294,897
295,104
295,100
295,898
296,108
296,900
296,164
297,901
297,902
297,903
298,578
298,904
298,905
299,570
299,906
299,381
300,908
300,909
300,910
301,912
301,913
301,914
302,104
302,915
302,916
303,918
303,879
303,919
304,104
304,916
304,920
305,261
305,370
305,913
306,6
306,922
306,17
307,924
307,925
307,926
308,256
308,927
308,928
309,930
309,931
309,932
310,392
310,393
310,934
311,936
311,937
311,938
312,939
312,108
312,940
313,941
313,942
313,596
314,108
314,943
314,944
315,946
315,947
315,948
316,950
316,951
316,952
317,948
317,953
317,954
318,956
318,957
318,958
319,170
319,959
319,960
320,962
320,963
320,964
321,607
321,607
321,966
322,968
322,969
322,970
323,274
323,972
323,973
324,827
324,975
324,976
325,509
325,978
325,979
326,523
326,981
326,450
327,509
327,982
327,427
328,983
328,984
328,985
329,987
329,988
329,989
330,85
330,76
330,990
331,992
331,993
331,994
332,426
332,427
332,995
333,996
333,8
