161,Alfred Hitchcock,DIRECTOR
162,Anthony Perkins,ACTOR
163,Janet Leigh,ACTOR
164,Vera Miles,ACTOR
165,Michael Curtiz,DIRECTOR
166,Humphrey Bogart,ACTOR
167,Ingrid Bergman,ACTOR
168,Paul Henreid,ACTOR
169,Charles Chaplin,DIRECTOR
170,Charles Chaplin,ACTOR
171,Paulette Goddard,ACTOR
172,Henry Bergman,ACTOR
173,Virginia Cherrill,ACTOR
174,Florence Lee,ACTOR
175,Nadine Labaki,DIRECTOR
176,Zain Al Rafeea,ACTOR
177,Yordanos Shiferaw,ACTOR
178,Boluwatife Treasure Bankole,ACTOR
179,Can Ulkay,DIRECTOR
180,Erdem Can,ACTOR
181,Çetin Tekindor,ACTOR
182,Ismail Hacioglu,ACTOR
183,Gayatri,DIRECTOR
184,Pushkar,ACTOR
185,Vijay Sethupathi,ACTOR
186,Makoto Shinkai,DIRECTOR
187,Ryûnosuke Kamiki,ACTOR
188,Mone Kamishiraishi,ACTOR
189,Ryô Narita,ACTOR
190,Nitesh Tiwari,DIRECTOR
191,Aamir Khan,ACTOR
192,Sakshi Tanwar,ACTOR
193,Fatima Sana Shaikh,ACTOR
194,Bob Persichetti,DIRECTOR
195,Peter Ramsey,ACTOR
196,Rodney Rothman,ACTOR
197,Shameik Moore,ACTOR
198,Anthony Russo,DIRECTOR
199,Joe Russo,ACTOR
200,Robert Downey Jr.,ACTOR
201,Chris Evans,ACTOR
202,Chris Hemsworth,ACTOR
203,Lee Unkrich,DIRECTOR
204,Adrian Molina,ACTOR
205,Anthony Gonzalez,ACTOR
206,Gael García Bernal,ACTOR
207,Jamie Foxx,ACTOR
208,Christoph Waltz,ACTOR
209,Tom Hardy,ACTOR
210,Rajkumar Hirani,DIRECTOR
211,Mona Singh,ACTOR
212,Aamir Khan,DIRECTOR
213,Amole Gupte,ACTOR
214,Darsheel Safary,ACTOR
215,Andrew Stanton,DIRECTOR
216,Ben Burtt,ACTOR
217,Elissa Knight,ACTOR
218,Jeff Garlin,ACTOR
219,Florian Henckel von Donnersmarck,DIRECTOR
220,Ulrich Mühe,ACTOR
221,Martina Gedeck,ACTOR
222,Sebastian Koch,ACTOR
223,Chan-wook Park,DIRECTOR
224,Choi Min-sik,ACTOR
225,Yoo Ji-Tae,ACTOR
226,Kang Hye-jeong,ACTOR
227,Guy Pearce,ACTOR
228,Carrie-Anne Moss,ACTOR
229,Joe Pantoliano,ACTOR
230,Yôji Matsuda,ACTOR
231,Yuriko Ishida,ACTOR
232,Yûko Tanaka,ACTOR
233,James Woods,ACTOR
234,Elizabeth McGovern,ACTOR
235,Karen Allen,ACTOR
236,Paul Freeman,ACTOR
237,Stanley Kubrick,DIRECTOR
238,Shelley Duvall,ACTOR
239,Danny Lloyd,ACTOR
240,Martin Sheen,ACTOR
241,Sigourney Weaver,ACTOR
242,Tom Skerritt,ACTOR
243,John Hurt,ACTOR
244,Hrishikesh Mukherjee,DIRECTOR
245,Rajesh Khanna,ACTOR
246,Amitabh Bachchan,ACTOR
247,Sumita Sanyal,ACTOR
248,Yutaka Sada,ACTOR
249,Peter Sellers,ACTOR
250,George C. Scott,ACTOR
251,Sterling Hayden,ACTOR
252,Billy Wilder,DIRECTOR
253,Tyrone Power,ACTOR
254,Marlene Dietrich,ACTOR
255,Charles Laughton,ACTOR
256,Kirk Douglas,ACTOR
257,Ralph Meeker,ACTOR
258,Adolphe Menjou,ACTOR
259,Grace Kelly,ACTOR
260,Wendell Corey,ACTOR
261,William Holden,ACTOR
262,Gloria Swanson,ACTOR
263,Erich von Stroheim,ACTOR
264,Jack Oakie,ACTOR
265,Sam Mendes,DIRECTOR
266,Dean-Charles Chapman,ACTOR
267,George MacKay,ACTOR
268,Daniel Mays,ACTOR
269,Rahi Anil Barve,DIRECTOR
270,Anand Gandhi,ACTOR
271,Adesh Prasad,ACTOR
272,Sohum Shah,ACTOR
273,Sriram Raghavan,DIRECTOR
274,Ayushmann Khurrana,ACTOR
275,Tabu,ACTOR
276,Radhika Apte,ACTOR
277,Jeethu Joseph,DIRECTOR
278,Mohanlal,ACTOR
279,Meena,ACTOR
280,Asha Sharath,ACTOR
281,Thomas Vinterberg,DIRECTOR
282,Mads Mikkelsen,ACTOR
283,Thomas Bo Larsen,ACTOR
284,Annika Wedderkopp,ACTOR
285,Asghar Farhadi,DIRECTOR
286,Payman Maadi,ACTOR
287,Leila Hatami,ACTOR
288,Sareh Bayat,ACTOR
289,Denis Villeneuve,DIRECTOR
290,Lubna Azabal,ACTOR
291,Mélissa Désormeaux-Poulin,ACTOR
292,Maxim Gaudette,ACTOR
293,Mehmet Ada Öztekin,DIRECTOR
294,Aras Bulut Iynemli,ACTOR
295,Nisa Sofiya Aksongur,ACTOR
296,Deniz Baysal,ACTOR
297,Çagan Irmak,DIRECTOR
298,Fikret Kuskan,ACTOR
299,Hümeyra,ACTOR
300,Diane Kruger,ACTOR
301,Eli Roth,ACTOR
302,Michel Gondry,DIRECTOR
303,Jim Carrey,ACTOR
304,Kate Winslet,ACTOR
305,Tom Wilkinson,ACTOR
306,Jean-Pierre Jeunet,DIRECTOR
307,Audrey Tautou,ACTOR
308,Mathieu Kassovitz,ACTOR
309,Rufus,ACTOR
310,Guy Ritchie,DIRECTOR
311,Jason Statham,ACTOR
312,Benicio Del Toro,ACTOR
313,Darren Aronofsky,DIRECTOR
314,Ellen Burstyn,ACTOR
315,Jared Leto,ACTOR
316,Jennifer Connelly,ACTOR
317,Annette Bening,ACTOR
318,Thora Birch,ACTOR
319,Gus Van Sant,DIRECTOR
320,Robin Williams,ACTOR
321,Ben Affleck,ACTOR
322,Majid Majidi,DIRECTOR
323,Mohammad Amir Naji,ACTOR
324,Amir Farrokh Hashemian,ACTOR
325,Bahare Seddiqi,ACTOR
326,John Lasseter,DIRECTOR
327,Tim Allen,ACTOR
328,Don Rickles,ACTOR
329,Mel Gibson,DIRECTOR
330,Mel Gibson,ACTOR
331,Sophie Marceau,ACTOR
332,Patrick McGoohan,ACTOR
333,Harvey Keitel,ACTOR
334,Tim Roth,ACTOR
335,Michael Madsen,ACTOR
336,Matthew Modine,ACTOR
337,R. Lee Ermey,ACTOR
338,Vincent D'Onofrio,ACTOR
339,Elem Klimov,DIRECTOR
340,Aleksey Kravchenko,ACTOR
341,Olga Mironova,ACTOR
342,Liubomiras Laucevicius,ACTOR
343,Michael Biehn,ACTOR
344,Carrie Henn,ACTOR
345,F. Murray Abraham,ACTOR
346,Tom Hulce,ACTOR
347,Elizabeth Berridge,ACTOR
348,Brian De Palma,DIRECTOR
349,Michelle Pfeiffer,ACTOR
350,Steven Bauer,ACTOR
351,Richard Marquand,DIRECTOR
352,Wolfgang Petersen,DIRECTOR
353,Jürgen Prochnow,ACTOR
354,Herbert Grönemeyer,ACTOR
355,Klaus Wennemann,ACTOR
356,Cybill Shepherd,ACTOR
357,George Roy Hill,DIRECTOR
358,Paul Newman,ACTOR
359,Robert Redford,ACTOR
360,Robert Shaw,ACTOR
361,Malcolm McDowell,ACTOR
362,Patrick Magee,ACTOR
363,Michael Bates,ACTOR
364,Keir Dullea,ACTOR
365,Gary Lockwood,ACTOR
366,William Sylvester,ACTOR
367,Gian Maria Volontè,ACTOR
368,David Lean,DIRECTOR
369,Peter O'Toole,ACTOR
370,Alec Guinness,ACTOR
371,Anthony Quinn,ACTOR
372,Jack Lemmon,ACTOR
373,Shirley MacLaine,ACTOR
374,Fred MacMurray,ACTOR
375,Cary Grant,ACTOR
376,Eva Marie Saint,ACTOR
377,James Mason,ACTOR
378,Kim Novak,ACTOR
379,Barbara Bel Geddes,ACTOR
380,Stanley Donen,DIRECTOR
381,Gene Kelly,ACTOR
382,Donald O'Connor,ACTOR
383,Nobuo Kaneko,ACTOR
384,Shin'ichi Himori,ACTOR
385,Vittorio De Sica,DIRECTOR
386,Lamberto Maggiorani,ACTOR
387,Enzo Staiola,ACTOR
388,Lianella Carell,ACTOR
389,Barbara Stanwyck,ACTOR
390,Edward G. Robinson,ACTOR
391,Orson Welles,DIRECTOR
392,Orson Welles,ACTOR
393,Joseph Cotten,ACTOR
394,Dorothy Comingore,ACTOR
395,Fritz Lang,DIRECTOR
396,Peter Lorre,ACTOR
397,Ellen Widmann,ACTOR
398,Inge Landgut,ACTOR
399,Brigitte Helm,ACTOR
400,Alfred Abel,ACTOR
401,Gustav Fröhlich,ACTOR
402,Edna Purviance,ACTOR
403,Jackie Coogan,ACTOR
404,Sushant Singh Rajput,ACTOR
405,Shraddha Kapoor,ACTOR
406,Varun Sharma,ACTOR
407,Aditya Dhar,DIRECTOR
408,Vicky Kaushal,ACTOR
409,Mohit Raina,ACTOR
410,Prashanth Neel,DIRECTOR
411,Yash,ACTOR
412,Srinidhi Shetty,ACTOR
413,Ramachandra Raju,ACTOR
414,Peter Farrelly,DIRECTOR
415,Mahershala Ali,ACTOR
416,Linda Cardellini,ACTOR
417,Martin McDonagh,DIRECTOR
418,Frances McDormand,ACTOR
419,Woody Harrelson,ACTOR
420,Sam Rockwell,ACTOR
421,Meghna Gulzar,DIRECTOR
422,Irrfan Khan,ACTOR
423,Konkona Sen Sharma,ACTOR
424,Neeraj Kabi,ACTOR
425,S.S. Rajamouli,DIRECTOR
426,Prabhas,ACTOR
427,Rana Daggubati,ACTOR
428,Anushka Shetty,ACTOR
429,Sergio Pablos,DIRECTOR
430,Carlos Martínez López,ACTOR
431,Jason Schwartzman,ACTOR
432,Nishikant Kamat,DIRECTOR
433,Ajay Devgn,ACTOR
434,Shriya Saran,ACTOR
435,Vikas Bahl,DIRECTOR
436,Kangana Ranaut,ACTOR
437,Rajkummar Rao,ACTOR
438,Lisa Haydon,ACTOR
439,Zaza Urushadze,DIRECTOR
440,Lembit Ulfsak,ACTOR
441,Elmo Nüganen,ACTOR
442,Giorgi Nakashidze,ACTOR
443,Rakeysh Omprakash Mehra,DIRECTOR
444,Farhan Akhtar,ACTOR
445,Sonam Kapoor,ACTOR
446,Pawan Malhotra,ACTOR
447,Anurag Kashyap,DIRECTOR
448,Manoj Bajpayee,ACTOR
449,Richa Chadha,ACTOR
450,Nawazuddin Siddiqui,ACTOR
451,Vikramaditya Motwane,DIRECTOR
452,Rajat Barmecha,ACTOR
453,Ronit Roy,ACTOR
454,Manjot Singh,ACTOR
455,Tigmanshu Dhulia,DIRECTOR
456,Mahie Gill,ACTOR
457,Rajesh Abhay,ACTOR
458,Juan José Campanella,DIRECTOR
459,Ricardo Darín,ACTOR
460,Soledad Villamil,ACTOR
461,Pablo Rago,ACTOR
462,Gavin O'Connor,DIRECTOR
463,Nick Nolte,ACTOR
464,Joel Edgerton,ACTOR
465,Emily Mortimer,ACTOR
466,Mark Ruffalo,ACTOR
467,Pete Docter,DIRECTOR
468,Bob Peterson,ACTOR
469,Edward Asner,ACTOR
470,Jordan Nagai,ACTOR
471,Jonah Hill,ACTOR
472,Margot Robbie,ACTOR
473,Shimit Amin,DIRECTOR
474,Shah Rukh Khan,ACTOR
475,Vidya Malvade,ACTOR
476,Sagarika Ghatge,ACTOR
477,Paul Thomas Anderson,DIRECTOR
478,Daniel Day-Lewis,ACTOR
479,Paul Dano,ACTOR
480,Ciarán Hinds,ACTOR
481,Guillermo del Toro,DIRECTOR
482,Ivana Baquero,ACTOR
483,Ariadna Gil,ACTOR
